person,major_lawsuit_order,major_lawsuit_claim,major_lawsuit_source_url
kenneth_langone,1,NY AG civil case; dismissed 2008,https://www.nytimes.com/2008/07/19/business/19grasso.html
kevin_plank,1,SEC investigation into Under Armour revenue recognition practices (2017-2019),https://www.sec.gov/newsroom/press-releases/2021-under-armour
larry_ellison,1,"NetSuite conflict-of-interest (won, DE Supreme Court affirmed Jan 2025); HP-Oracle litigation; Theranos early investor",https://www.reuters.com/legal/litigation/oracle-founder-ellison-wins-ruling-netsuite-deal-lawsuit-2025-01-30/
larry_page,1,"DOJ antitrust (search monopoly, ruled illegal Aug 2024); DOJ ad-tech (liable on 2/3 counts Apr 2025)",https://www.justice.gov/atr/case/us-and-plaintiff-states-v-google-llc-2020
larry_silverstein,1,9/11 insurance dispute resolved with $4.55B payout,https://www.nytimes.com/2007/05/24/nyregion/24rebuild.html
len_blavatnik,1,TNK-BP litigation involving Vekselberg,https://www.reuters.com/article/us-tnk-bp/access-industries-blavatnik-settles-tnk-bp-claims-idUSKBN0EU1IX20140619
leon_black,1,Paid Epstein $158-170M (Senate finding Mar 2025); $62.5M to USVI for criminal immunity; Guzel Ganieva rape allegation (dismissed); Cheri Pierson allegation (dropped Feb 2024); Apollo shareholders class action Feb 2026,https://www.senate.gov/leon-black-epstein-report
leon_cooperman,1,SEC insider trading charges (settled 2017),https://www.sec.gov/newsroom/press-releases/2016-189
leonid_radvinsky,1,MyFreeCams origins; content moderation controversies; Congressional scrutiny over underage content,https://www.reuters.com/investigates/special-report/onlyfans-sex-work/
les_wexner,1,Epstein managed his money ~15 years; Wexner claims Epstein misappropriated $46M; stepped down from L Brands,https://www.nytimes.com/2019/08/07/business/les-wexner-jeffrey-epstein.html
liesel_pritzker_simmons,1,Sued family trusts; ~$450M settlement (2005),https://www.chicagotribune.com/2005/06/12/inside-the-pritzker-family-feud/
linda_pritzker,1,Pritzker family trust litigation/restructuring,https://www.chicagotribune.com/2005/06/12/inside-the-pritzker-family-feud/
lloyd_blankfein,1,Goldman Sachs 2008 crisis scrutiny; $550M SEC settlement over Abacus CDO (2010),https://www.sec.gov/newsroom/press-releases/2010-123
louis_bacon,1,Moore Charitable Trust defrauded of $25M by Andy Caspersen,https://www.justice.gov/usao-sdny/pr/former-park-hill-group-partner-sentenced-four-years-prison-33-million-investment-fraud
lynda_resnick,1,Unindicted co-conspirator in Pentagon Papers investigation (case dropped),https://www.nytimes.com/2005/06/10/opinion/lynda-resnick-confessions-of-a-co-conspirator.html
lynn_schusterman,1,Won lawsuit filed by bankruptcy settlement trust re 2011 Samson sale,https://www.reuters.com/article/us-samson-resources-bankruptcy/samson-resources-reaches-175-million-bankruptcy-plan-deal-idUSKBN1480OY
lynsi_snyder,1,Family trust lawsuits (Richard Boyd and Mark Taylor),https://www.ocregister.com/2012/06/05/in-n-out-burger-heiress-faces-court-fight-over-family-trust/
marc_andreessen,1,US v. Microsoft antitrust (Netscape central to the case),https://www.justice.gov/atr/case/us-v-microsoft-corporation
marc_lore,1,"FTC review of Amazon-Quidsi acquisition (scrutiny on Amazon, not Lore)",https://www.ftc.gov/news-events/news/press-releases/2017/04/ftc-closes-investigation-amazons-2014-acquisition-quidsi
marc_rowan,1,Apollo 2026 Epstein-related securities class action,https://www.reuters.com/legal/apollo-global-management-sued-over-leon-blacks-epstein-ties-2026-02-15/
marcelo_claure,1,SoftBank compensation dispute; led to departure Jan 2022,https://www.cnn.com/2022/01/11/tech/softbank-marcelo-claure-leaving/index.html
mark_pincus,1,Zynga shareholder class action over $500M+ insider stock sales (2012),https://www.mercurynews.com/2012/08/01/zynga-insiders-dumped-stock-in-early-lockup-release/
mark_shoen,1,Bitter Shoen family feud; Sam Shoen's wife Eva murdered (1990); father sued sons,https://www.nytimes.com/1990/08/07/us/wife-of-u-haul-founder-is-found-killed.html
mark_stevens,1,Fined $500K and banned one year for shoving Kyle Lowry during 2019 NBA Finals,https://www.nba.com/news/golden-state-warriors-investor-mark-stevens-fined-500000-banned-1-year
mark_walter,1,"SEC probe into Guggenheim real estate deals (ended 2019, no penalty)",https://therealdeal.com/2019/03/01/guggenheim-partners-closes-sec-probe-without-penalties/
mark_zuckerberg,1,"FTC antitrust (won Nov 2025, FTC appealed Jan 2026); $5B FTC privacy fine (2019); Winklevoss $65M settlement",https://www.ftc.gov/news-events/news/press-releases/2019/07/ftc-imposes-5-billion-penalty-sweeping-new-privacy-restrictions-facebook
matthew_pritzker,1,Sued family over Hyatt Hotels fortune; ~$450M settlement (2005),https://www.chicagotribune.com/2005/06/12/inside-the-pritzker-family-feud/
matthew_roszak,1,SEC insider trading settlement (2006) related to Blue Rhino stock purchases,https://www.sec.gov/litigation/litreleases/lr19722.htm
max_levchin,1,CFPB industry-wide BNPL scrutiny (no specific Affirm enforcement),https://www.consumerfinance.gov/about-us/newsroom/cfpb-publishes-buy-now-pay-later-report/
michael_bloomberg,1,"Multiple discrimination lawsuits at Bloomberg LP (~64 women, ~40 lawsuits, some settled)",https://www.washingtonpost.com/graphics/2020/politics/michael-bloomberg-women/
michael_dell,1,"$100M SEC settlement (2010, accounting fraud re Intel payments); going-private fight with Carl Icahn (2013)",https://www.sec.gov/newsroom/press-releases/2010-131
michael_jordan,1,Sued Dominick's Finer Foods over right of publicity (steak coupon ad); won $8.9M,https://www.espn.com/nba/story/_/id/13533637/michael-jordan-wins-89-million-dominick-finer-foods
michael_milken,1,"Pleaded guilty to 6 counts securities fraud (1990); 10yr sentence, served 22 months; $600M fines; pardoned by Trump Feb 2020",https://www.cnbc.com/2020/02/18/trump-grants-clemency-to-michael-milken-junk-bond-king.html
michael_saylor,1,"$40M DC tax fraud settlement (2024); 2000 SEC fraud settlement ($8.3M, dot-com accounting)",https://oag.dc.gov/release/attorney-general-schwalb-announces-40-million-settlement
michael_steinhardt,1,Non-prosecution agreement; surrendered 180 stolen antiquities to Manhattan DA,https://manhattanda.org/da-vance-seizes-70-stolen-antiquities-from-billionaire-michael-steinhardt/
micky_arison,1,FTC reviewed Carnival merger with P&O Princess (2002); closed with no action,https://www.ftc.gov/news-events/news/press-releases/2002/10/ftc-approves-carnival-corporation-po-princess-cruises-plc-merger
nancy_walton_laurie,1,Daughter Paige USC admissions cheating scandal (2004); Paige surrendered degree,https://www.nbcnews.com/news/us-news/walmart-heiress-daughter-paige-laurie-returns-usc-degree-flna1c9460929
nicholas_howley,1,Congressional testimony over TransDigm Pentagon overcharging allegations,https://www.govinfo.gov/content/pkg/CHRG-116hhrg37826/html/CHRG-116hhrg37826.htm
nick_caporella,1,"Sexual harassment lawsuits (2018, pilots accused of groping); securities fraud claims",https://www.cnn.com/2018/06/27/us/national-beverage-ceo-harassment-lawsuit/index.html
oprah_winfrey,1,"Texas beef defamation lawsuit (1998, won)",https://www.washingtonpost.com/wp-srv/national/longterm/oprah/stories/verdict022698.htm
orlando_bravo,1,"Stockholder litigation related to Thoma Bravo software buyouts (QAD $65M settlement, others)",https://news.bloomberglaw.com/mergers-and-acquisitions/thoma-bravo-agrees-to-pay-65-million-to-settle-qad-buyout-suit
palmer_luckey,1,ZeniMax v. Oculus $500M verdict; reduced by trial judge; settled Dec 2018,https://www.theverge.com/2018/12/12/18137187/facebook-zenimax-vr-lawsuit-settled
patrick_soon_shiong,1,Multiple lawsuits related to patent disputes and business practices,https://www.fiercebiotech.com/biotech/patrick-soon-shiong-sued-for-fraud
paul_singer,1,"Argentina sovereign debt ($2.4B, seized navy vessel); Congo sovereign debt; activist campaigns (AT&T, Twitter, etc)",https://www.mercopress.com/2012/10/22/argentine-navy-vessel-held-in-ghana-by-court-order-following-a-claim-from-us-bondholders
penny_pritzker,1,Superior Bank failure (FDIC lawsuit settled ~$460M),https://www.chicagobusiness.com/article/20010714/NEWS01/10001019/superior-bank-s-collapse
peter_guber,1,Sony/Columbia Pictures $1B breach of contract litigation with Warner Bros (1989); settled with Sony ceding $400-600M in assets,https://www.nytimes.com/1989/11/21/business/warner-sues-sony-seeking-1-billion-over-guber-deal.html
peter_thiel,1,"Funded Hulk Hogan v. Gawker (bankrupted Gawker); $5B Roth IRA controversy (from $1,700 initial investment)",https://www.propublica.org/article/lord-of-the-roths-how-tech-mogul-peter-thiel-turned-a-retirement-account-into-a-5-billion-dollar-tax-free-piggy-bank
phil_knight,1,Onitsuka Tiger distribution rights lawsuit (1970s); FBI/Customs investigation (1970s-80s),https://www.nytimes.com/2016/04/27/business/phil-knight-shoe-dog-nike.html
phil_shawe,1,TransPerfect ownership court battle; Delaware Chancery ordered modified auction; Shawe bought Elting's shares for $385M,https://www.reuters.com/article/us-transperfect-auction/transperfect-co-founder-shawe-wins-court-ordered-auction-idUSKBN1HQ2SV
phillip_frost,1,SEC pump-and-dump scheme accusation (2018); settled for $5.5M,https://www.sec.gov/newsroom/press-releases/2018-182
rakesh_gangwal,1,"Dispute with co-founder Rahul Bhatia over IndiGo corporate governance 2019; courts in London, Florida, Maryland",https://www.reuters.com/article/us-indigo-airlines-governance/indigo-airlines-gangwal-escalates-fight-with-co-founder-bhatia-idUSKCN1UC1E1
ray_dalio,1,Employee compensation forfeiture and non-compete disputes,https://www.wsj.com/articles/bridgewater-associates-sued-by-former-employee-over-non-compete-11639068001
richard_fairbank,1,CFPB investigations into Capital One lending practices,https://www.consumerfinance.gov/enforcement/actions/capital-one-bank/
richard_kinder,1,Enron-related (left Enron 1996 before fraud; not charged),https://www.nytimes.com/2002/02/06/business/enron-s-collapse-the-overview.html
richard_saghian,1,Fashion Nova FTC $4.2M settlement for suppressing negative reviews (2022),https://www.ftc.gov/news-events/news/press-releases/2022/01/fashion-nova-will-pay-42-million-part-settlement-ftc-allegations-it-blocked-negative-reviews
