person,claim,source_url,verdict
donald_bren,Paternity lawsuit (Jennifer McKay Gold),https://abcnews.go.com/GMA/billionaire-donald-bren-broke-promises-children-girlfriend/story?id=11512338,PARTIAL
donald_sterling,$2B forced sale to Ballmer; $2.725M DOJ housing discrimination settlement; lifetime NBA ban,https://www.justice.gov/archives/opa/pr/justice-department-obtains-record-2725-million-settlement-housing-discrimination-lawsuit,TRUE
donald_trump,E. Jean Carroll defamation ($83.3M); NY AG fraud (~$454M); 34-count felony conviction (2024); 2 impeachments; 4 indictments,https://manhattanda.org/d-a-bragg-announces-34-count-felony-trial-conviction-of-donald-j-trump/,PARTIAL
dwight_schar,Minority owner dispute with Dan Snyder; sold ~40.5% stake for $875M,https://www.washingtonpost.com/sports/2020/12/19/dan-snyder-minority-owners-feud/,TRUE
edward_bass,1994 Biosphere 2 management dispute with federal marshals and lawsuits,https://www.chicagotribune.com/1994/04/16/biosphere-2-proves-a-hothouse-for-trouble/,TRUE
edward_debartolo_jr,1998 guilty plea re Louisiana governor Edwards bribery; pardoned February 2020,https://www.pbs.org/newshour/nation/trump-pardons-edward-debartolo-jr-ex-49ers-owner,PARTIAL
edward_glazer,,,FALSE
elaine_marshall,"Marshall v. Marshall (547 U.S. 293, 2006) Supreme Court case re Anna Nicole Smith estate",https://supreme.justia.com/cases/federal/us/547/293/,TRUE
elon_musk,Tornetta v. Musk (reinstated Dec 2025); SolarCity shareholder suit (won 2022); Twitter acquisition litigation (settled); SEC suit; Unsworth defamation (won 2019),https://www.sec.gov/enforcement-litigation/litigation-releases/lr-26219,TRUE
eric_lefkofsky,SEC preliminary investigation into Groupon (2012); no personal charges,https://business.time.com/2012/04/05/groupon-faces-sec-probe-investor-lawsuit-as-stock-hits-new-low/,PARTIAL
eric_schmidt,,,FALSE
eric_smidt,Parents Allan and Dorothy Smidt sued son Eric in 2010 for looting Harbor Freight; settled,https://www.sandiegouniontribune.com/2010/07/21/founder-of-harbor-freight-tools-sues-ceo-son/,TRUE
ernest_garcia_ii,Lincoln S&L guilty plea (1990),https://www.upi.com/Archives/1990/10/30/Lincoln-case-figure-convicted-of-bank-fraud/4477657262800/,PARTIAL
evan_spiegel,Reggie Brown co-founder lawsuit settled 2014 for $157.5M,https://techcrunch.com/2017/02/02/snapchat-reggie-brown/,TRUE
forrest_preston,Life Care Centers $145M False Claims Act settlement,https://www.justice.gov/archives/opa/pr/life-care-centers-america-inc-agrees-pay-145-million-resolve-false-claims-act-allegations,TRUE
frank_mccourt,Dodgers bankruptcy 2011,https://www.deb.uscourts.gov/sites/deb/files/opinions/kg2011121511-12010_0.pdf,TRUE
frank_vandersloot,Mother Jones defamation lawsuit,https://globalfreedomofexpression.columbia.edu/cases/vandersloot-v-mother-jones/,TRUE
gary_michelson,$1.35B Medtronic patent settlement (2005),https://www.washingtonpost.com/archive/business/2005/04/23/medtronic-settles-over-patents/05b012d8-58c3-401e-ba84-6fe40246835f/,TRUE
gary_rollins,Lawsuit by grandchildren over Rollins fortune; 2019 settlement,https://www.ajc.com/news/local/settlement-reached-heated-family-dispute-over-rollins-fortune/4uIwsGoyBXxckDAXASgC2K/,PARTIAL
gayle_benson,Mental competency challenge by estranged heirs; Feb 2017 settlement,https://www.espn.com/nfl/story/_/id/18614839/tom-benson-new-orleans-saints-pelicans-reaches-settlement-estranged-heirs,PARTIAL
geoffrey_palmer,Da Vinci apartment arson fire (526 units); arsonist pleaded no contest,https://lafd.org/news/lafd-and-atf-determine-da-vinci-apartment-complex-fire-cause-arson,PARTIAL
george_argyros,,,FALSE
george_kaiser,"Solyndra controversy ($340M investment, $535M loan guarantee, Sept 2011 bankruptcy)",https://capitalresearch.org/article/the-solyndra-scandal-charity-tax-loopholes-and-billionaire-george-kaiser/,TRUE
george_kurtz,"CrowdStrike outage (8.5M devices, $5.4B losses, Delta $500M+ lawsuit)",https://www.cnn.com/2024/10/25/business/delta-sues-crowdstrike/index.html,TRUE
george_roberts,RJR Nabisco LBO litigation,https://law.justia.com/cases/delaware/court-of-chancery/1990/576-a-2d-654-4.html,TRUE
george_soros,"2002 French insider trading conviction (Societe Generale), upheld by ECHR 2011",https://www.washingtonpost.com/archive/politics/2002/12/21/soros-found-guilty-of-insider-trading/8f6b6fc6-6184-4740-a359-e51398d178ff/,TRUE
george_yancopoulos,,,FALSE
glenn_dubin,Epstein association controversy,https://www.thecrimson.com/article/2019/8/18/dubin-epstein-unsealed-docs/,TRUE
gordon_getty,Pennzoil v. Texaco and paternity disputes,https://ir.law.utk.edu/cgi/viewcontent.cgi?article=1073&context=transactions,TRUE
harold_hamm,"Continental Resources 937 spills, 1.6M gallons (2006-2014)",https://www.desmog.com/harold-hamm/,PARTIAL
henry_laufer,Renaissance Technologies IRS basket options dispute,https://www.govinfo.gov/content/pkg/CHRG-113shrg89882/html/CHRG-113shrg89882.htm,TRUE
henry_nicholas_iii,2008 drug-related indictment (dismissed); 2018 Vegas arrest; 2019 Alford plea,https://www.justice.gov/archive/usao/cac/Pressroom/pr2008/078.html,TRUE
henry_samueli,Broadcom stock options backdating; SEC charges dropped,https://www.sec.gov/news/press/2008/2008-63.htm,TRUE
herbert_allen_jr,,,FALSE
howard_lutnick,Cantor Fitzgerald partner lawsuits and eSpeed litigation,https://www.lw.com/en/news/2022/08/latham-helps-cantor-fitzgerald-and-howard-lutnick-defeat-us$400-million-lawsuit,TRUE
igor_olenicoff,2007 guilty plea; $52M penalty; ~$240M hidden in Swiss accounts,https://www.bloomberg.com/news/articles/2012-04-09/ubs-faces-billionaire-olenicoff-in-lawsuit-over-his-tax-felony,PARTIAL
ira_rennert,Mansion funded by diverted company assets; $213.2M judgment; environmental violations,https://www.27east.com/residence/home-garden/article_e3193061-2b07-537d-9530-584ed69dbae5.html,PARTIAL
irving_grousbeck,,,FALSE
isaac_perlmutter,Marvel bankruptcy-era litigation and gender/race discrimination allegations,https://www.hollywoodreporter.com/business/business-news/isaac-perlmutter-story-marvel-chairmans-918237/,PARTIAL
israel_englander,$180M SEC/NY AG settlement for mutual fund timing fraud,https://www.sec.gov/news/press/2005-170.htm,TRUE
jack_cogen,,,FALSE
jack_dorsey,"Named in Twitter shareholder class action (settled $809.5M, 2021); subpoenaed in Twitter v. Musk",https://variety.com/2021/digital/news/twitter-investor-lawsuit-settlement-payment-jack-dorsey-1235068982/,PARTIAL
jacqueline_mars,2013 fatal car accident; reckless driving conviction,https://www.washingtonpost.com/local/mars-company-co-owner-convicted-of-reckless-driving-in-fatal-loudoun-county-crash/2013/12/05/fdf43c90-5d03-11e3-bc56-c6ca94801fac_story.html,PARTIAL
james_clark,,,FALSE
james_irsay,2014 DUI arrest; 6-game NFL suspension + $500K fine,https://www.nfl.com/news/colts-jim-irsay-suspended-six-games-fined-500k-0ap3000000387267,PARTIAL
jamie_dimon,London Whale oversight; JPMorgan paid $920M in fines,https://www.sec.gov/news/press-release/2013-187,TRUE
jay_robert_pritzker,Toilet removal property tax controversy (2018),https://www.chicagotribune.com/2019/10/23/inspector-general-finds-pritzker-toilet-scheme-resulted-in-favorable-tax-treatment/,PARTIAL
jayshree_ullal,Cisco sued Arista for patent infringement; $400M settlement,https://www.reuters.com/article/us-cisco-arista-networks/cisco-arista-reach-400-million-patent-settlement-idUSKBN1AH3Z0,TRUE
jed_mccaleb,Major record companies sued eDonkey2000 for copyright infringement; $30M settlement,https://www.eff.org/cases/mgm-studios-inc-v-grokster-ltd,TRUE
jeff_bezos,"FTC antitrust (filed Sep 2023, ongoing); National Enquirer blackmail confrontation (2019)",https://www.ftc.gov/legal-library/browse/cases-proceedings/amazon-com-inc-ftc-v,TRUE
jeff_greene,Property development approval lawsuits in Palm Beach,https://www.palmbeachpost.com/story/news/2015/06/16/jeff-greene-challenges-palm-beach/7290770007/,PARTIAL
jeff_tangney,,,FALSE
jeff_yass,TikTok ban legislative battle (personal financial interest); IRS scrutiny of SIG trading practices,https://www.nytimes.com/2024/03/13/us/politics/jeff-yass-tiktok-ban.html,PARTIAL
jeffrey_gundlach,Fired from TCW 2009; TCW sued for breach of fiduciary duty; jury ruled largely in Gundlach's favor ($66.7M award) 2011,https://www.reuters.com/article/us-tcw-gundlach/tcw-wins-minor-victory-in-gundlach-lawsuit-idUSBRE88F1BZ20120916,TRUE
jeffrey_hildebrand,Hilcorp highest greenhouse gas emissions of any US oil/gas company; multiple EPA/state fines,https://www.epa.gov/enforcement/case-summary-hilcorp-energy-company-clean-air-act-settlement,TRUE
jeffrey_lorberbaum,Mohawk Industries RICO and securities fraud lawsuits,https://www.reuters.com/article/us-mohawk-industries-settlement/mohawk-industries-to-pay-60-million-to-settle-shareholder-lawsuit-idUSKBN0TN2LW20151204,PARTIAL
jeffrey_talpins,,,FALSE
jensen_huang,Nvidia $40B Arm acquisition blocked by FTC; terminated Feb 2022,https://www.ftc.gov/news-events/news/press-releases/2021/12/ftc-sues-block-40-billion-semiconductor-chip-merger,TRUE
jerry_jones,"Paternity lawsuit (2022, Alexandra Davis); $250K NFL fine (2025)",https://www.espn.com/nfl/story/_/id/33514214/woman-suing-jerry-jones-says-paternity-not-end-her-claim,TRUE
jerry_moyes,Phoenix Coyotes bankruptcy filing May 2009,https://www.nytimes.com/2009/05/06/sports/hockey/06coyotes.html,TRUE
jerry_speyer,Stuyvesant Town-Peter Cooper Village $5.4B default and tenant litigation,https://www.nytimes.com/2010/01/25/nyregion/25stuy.html,TRUE
jerry_yang,,,FALSE
jim_coulter,,,FALSE
jim_crane,Houston Astros sign-stealing scandal,https://www.mlb.com/news/astros-sign-stealing-penalty,TRUE
jim_koch,,,FALSE
jimmy_haslam,Pilot Flying J fraud scandal ($92M federal penalty; employees convicted; Haslam not personally charged),https://www.justice.gov/usao-edtn/pr/pilot-flying-j-agrees-pay-92-million-penalty,TRUE
jimmy_rane,,,FALSE
joe_kiani,,,FALSE
joe_lonsdale,"Stanford University sexual assault allegation (2015, case dropped)",https://www.nytimes.com/2015/02/03/technology/joe-lonsdale-stanford-sexual-assault-allegations.html,TRUE
john_doerr,"Ellen Pao gender discrimination lawsuit against Kleiner Perkins (2015, Kleiner prevailed)",https://www.nytimes.com/2015/03/28/technology/ellen-pao-kleiner-perkins-case-goes-to-jury.html,TRUE
john_fisher,Oakland A's relocation lawsuits (company-level),https://www.espn.com/mlb/story/_/id/36589327/oakland-athletics-las-vegas-relocation,PARTIAL
john_malone,Various antitrust and regulatory disputes related to cable industry consolidation,https://www.ftc.gov/enforcement/cases-proceedings/john-malone-liberty-media,TRUE
john_menard_jr,Serial EPA violations (fined $1.7M 1997 for illegal hazardous waste disposal); additional violations; labor disputes,https://www.epa.gov/enforcement/case-summary-menard-inc,TRUE
john_middleton,Sister sued claiming cheated out of inheritance; settled for reported $22M,https://www.phillymag.com/news/2017/10/14/john-middleton-phillies-owner-sister-lawsuit/,TRUE
john_overdeck,Two Sigma sued former employees over trade secrets; SEC fined Two Sigma $90M (2025),https://www.sec.gov/newsroom/press-releases/2025-two-sigma,PARTIAL
john_paul_dejoria,ROKiT-related lawsuits and sports sponsorship disputes,https://www.motorsport.com/f1/news/williams-rokit-sponsor-title-deal/4783429/,TRUE
john_paulson,Divorce ongoing; settlement amount undisclosed,https://www.bloomberg.com/news/articles/2022-08-15/john-paulson-separates-from-wife-jenny-paulson,PARTIAL
john_pritzker,Pritzker family trust litigation (1990s-2000s),https://www.chicagotribune.com/2005/06/12/inside-the-pritzker-family-feud/,TRUE
joseph_grendys,ICE raid 2019; 243 workers arrested,https://www.reuters.com/article/us-usa-immigration-ohio/ice-arrests-146-workers-in-ohio-meat-plant-raid-idUSKCN1T62PL,PARTIAL
joseph_liemandt,,,FALSE
joshua_harris,Apollo faced scrutiny over Leon Black's ties to Jeffrey Epstein,https://www.nytimes.com/2021/01/25/business/leon-black-apollo-jeffrey-epstein.html,TRUE
julia_koch,"Koch family litigation (Bill Koch sued Charles and David, 1980s-2001)",https://law.justia.com/cases/federal/district-courts/FSupp/969/1460/1808056/,TRUE
kelcy_warren,Dakota Access Pipeline lawsuits; Regency Energy Partners litigation,https://www.reuters.com/article/us-usa-pipeline-dakota-access/dakota-access-pipeline-shut-down-by-u-s-judge-idUSKBN2472B3,TRUE
ken_fisher,2019 sexist remarks at conference; lost $3B+ in institutional AUM,https://www.cnbc.com/2019/10/11/ken-fisher-made-inappropriate-comments-at-a-tiburon-conference.html,PARTIAL
ken_griffin,Congressional testimony re GameStop (2021); cease-and-desist letters to critics,https://financialservices.house.gov/calendar/eventsingle.aspx?EventID=407107,PARTIAL
kenneth_feld,,,FALSE
kenneth_langone,NY AG civil case; dismissed 2008,https://www.nytimes.com/2008/07/19/business/19grasso.html,PARTIAL
kevin_glazer,,,FALSE
kevin_plank,SEC investigation into Under Armour revenue recognition practices (2017-2019),https://www.sec.gov/newsroom/press-releases/2021-under-armour,TRUE
larry_ellison,"NetSuite conflict-of-interest (won, DE Supreme Court affirmed Jan 2025); HP-Oracle litigation; Theranos early investor",https://www.reuters.com/legal/litigation/oracle-founder-ellison-wins-ruling-netsuite-deal-lawsuit-2025-01-30/,TRUE
larry_page,"DOJ antitrust (search monopoly, ruled illegal Aug 2024); DOJ ad-tech (liable on 2/3 counts Apr 2025)",https://www.justice.gov/atr/case/us-and-plaintiff-states-v-google-llc-2020,TRUE
larry_silverstein,9/11 insurance dispute resolved with $4.55B payout,https://www.nytimes.com/2007/05/24/nyregion/24rebuild.html,TRUE
laurence_fink,,,FALSE
len_blavatnik,TNK-BP litigation involving Vekselberg,https://www.reuters.com/article/us-tnk-bp/access-industries-blavatnik-settles-tnk-bp-claims-idUSKBN0EU1IX20140619,PARTIAL
leon_black,Paid Epstein $158-170M (Senate finding Mar 2025); $62.5M to USVI for criminal immunity; Guzel Ganieva rape allegation (dismissed); Cheri Pierson allegation (dropped Feb 2024); Apollo shareholders class action Feb 2026,https://www.senate.gov/leon-black-epstein-report,TRUE
leon_cooperman,SEC insider trading charges (settled 2017),https://www.sec.gov/newsroom/press-releases/2016-189,TRUE
leonid_radvinsky,MyFreeCams origins; content moderation controversies; Congressional scrutiny over underage content,https://www.reuters.com/investigates/special-report/onlyfans-sex-work/,TRUE
les_wexner,Epstein managed his money ~15 years; Wexner claims Epstein misappropriated $46M; stepped down from L Brands,https://www.nytimes.com/2019/08/07/business/les-wexner-jeffrey-epstein.html,TRUE
liesel_pritzker_simmons,Sued family trusts; ~$450M settlement (2005),https://www.chicagotribune.com/2005/06/12/inside-the-pritzker-family-feud/,PARTIAL
linda_pritzker,Pritzker family trust litigation/restructuring,https://www.chicagotribune.com/2005/06/12/inside-the-pritzker-family-feud/,TRUE
lloyd_blankfein,Goldman Sachs 2008 crisis scrutiny; $550M SEC settlement over Abacus CDO (2010),https://www.sec.gov/newsroom/press-releases/2010-123,TRUE
louis_bacon,Moore Charitable Trust defrauded of $25M by Andy Caspersen,https://www.justice.gov/usao-sdny/pr/former-park-hill-group-partner-sentenced-four-years-prison-33-million-investment-fraud,TRUE
lynda_resnick,Unindicted co-conspirator in Pentagon Papers investigation (case dropped),https://www.nytimes.com/2005/06/10/opinion/lynda-resnick-confessions-of-a-co-conspirator.html,TRUE
lynn_schusterman,Won lawsuit filed by bankruptcy settlement trust re 2011 Samson sale,https://www.reuters.com/article/us-samson-resources-bankruptcy/samson-resources-reaches-175-million-bankruptcy-plan-deal-idUSKBN1480OY,TRUE
lynsi_snyder,Family trust lawsuits (Richard Boyd and Mark Taylor),https://www.ocregister.com/2012/06/05/in-n-out-burger-heiress-faces-court-fight-over-family-trust/,PARTIAL
magic_johnson,,,FALSE
marc_andreessen,US v. Microsoft antitrust (Netscape central to the case),https://www.justice.gov/atr/case/us-v-microsoft-corporation,PARTIAL
marc_benioff,,,FALSE
marc_lore,"FTC review of Amazon-Quidsi acquisition (scrutiny on Amazon, not Lore)",https://www.ftc.gov/news-events/news/press-releases/2017/04/ftc-closes-investigation-amazons-2014-acquisition-quidsi,PARTIAL
marc_rowan,Apollo 2026 Epstein-related securities class action,https://www.reuters.com/legal/apollo-global-management-sued-over-leon-blacks-epstein-ties-2026-02-15/,PARTIAL
marcelo_claure,SoftBank compensation dispute; led to departure Jan 2022,https://www.cnn.com/2022/01/11/tech/softbank-marcelo-claure-leaving/index.html,TRUE
mark_pincus,Zynga shareholder class action over $500M+ insider stock sales (2012),https://www.mercurynews.com/2012/08/01/zynga-insiders-dumped-stock-in-early-lockup-release/,TRUE
mark_shoen,Bitter Shoen family feud; Sam Shoen's wife Eva murdered (1990); father sued sons,https://www.nytimes.com/1990/08/07/us/wife-of-u-haul-founder-is-found-killed.html,PARTIAL
mark_stevens,Fined $500K and banned one year for shoving Kyle Lowry during 2019 NBA Finals,https://www.nba.com/news/golden-state-warriors-investor-mark-stevens-fined-500000-banned-1-year,TRUE
mark_walter,"SEC probe into Guggenheim real estate deals (ended 2019, no penalty)",https://therealdeal.com/2019/03/01/guggenheim-partners-closes-sec-probe-without-penalties/,TRUE
mark_zuckerberg,"FTC antitrust (won Nov 2025, FTC appealed Jan 2026); $5B FTC privacy fine (2019); Winklevoss $65M settlement",https://www.ftc.gov/news-events/news/press-releases/2019/07/ftc-imposes-5-billion-penalty-sweeping-new-privacy-restrictions-facebook,TRUE
matthew_pritzker,Sued family over Hyatt Hotels fortune; ~$450M settlement (2005),https://www.chicagotribune.com/2005/06/12/inside-the-pritzker-family-feud/,PARTIAL
matthew_roszak,SEC insider trading settlement (2006) related to Blue Rhino stock purchases,https://www.sec.gov/litigation/litreleases/lr19722.htm,TRUE
max_levchin,CFPB industry-wide BNPL scrutiny (no specific Affirm enforcement),https://www.consumerfinance.gov/about-us/newsroom/cfpb-publishes-buy-now-pay-later-report/,PARTIAL
meg_whitman,,,FALSE
michael_bloomberg,"Multiple discrimination lawsuits at Bloomberg LP (~64 women, ~40 lawsuits, some settled)",https://www.washingtonpost.com/graphics/2020/politics/michael-bloomberg-women/,TRUE
michael_dell,"$100M SEC settlement (2010, accounting fraud re Intel payments); going-private fight with Carl Icahn (2013)",https://www.sec.gov/newsroom/press-releases/2010-131,TRUE
michael_jordan,Sued Dominick's Finer Foods over right of publicity (steak coupon ad); won $8.9M,https://www.espn.com/nba/story/_/id/13533637/michael-jordan-wins-89-million-dominick-finer-foods,PARTIAL
michael_milken,"Pleaded guilty to 6 counts securities fraud (1990); 10yr sentence, served 22 months; $600M fines; pardoned by Trump Feb 2020",https://www.cnbc.com/2020/02/18/trump-grants-clemency-to-michael-milken-junk-bond-king.html,TRUE
michael_saylor,"$40M DC tax fraud settlement (2024); 2000 SEC fraud settlement ($8.3M, dot-com accounting)",https://oag.dc.gov/release/attorney-general-schwalb-announces-40-million-settlement,TRUE
michael_steinhardt,Non-prosecution agreement; surrendered 180 stolen antiquities to Manhattan DA,https://manhattanda.org/da-vance-seizes-70-stolen-antiquities-from-billionaire-michael-steinhardt/,PARTIAL
micky_arison,FTC reviewed Carnival merger with P&O Princess (2002); closed with no action,https://www.ftc.gov/news-events/news/press-releases/2002/10/ftc-approves-carnival-corporation-po-princess-cruises-plc-merger,PARTIAL
milane_frantz,,,FALSE
nancy_walton_laurie,Daughter Paige USC admissions cheating scandal (2004); Paige surrendered degree,https://www.nbcnews.com/news/us-news/walmart-heiress-daughter-paige-laurie-returns-usc-degree-flna1c9460929,TRUE
nicholas_howley,Congressional testimony over TransDigm Pentagon overcharging allegations,https://www.govinfo.gov/content/pkg/CHRG-116hhrg37826/html/CHRG-116hhrg37826.htm,TRUE
nick_caporella,"Sexual harassment lawsuits (2018, pilots accused of groping); securities fraud claims",https://www.cnn.com/2018/06/27/us/national-beverage-ceo-harassment-lawsuit/index.html,TRUE
noam_gottesman,,,FALSE
oprah_winfrey,"Texas beef defamation lawsuit (1998, won)",https://www.washingtonpost.com/wp-srv/national/longterm/oprah/stories/verdict022698.htm,TRUE
orion_hindawi,,,FALSE
orlando_bravo,"Stockholder litigation related to Thoma Bravo software buyouts (QAD $65M settlement, others)",https://news.bloomberglaw.com/mergers-and-acquisitions/thoma-bravo-agrees-to-pay-65-million-to-settle-qad-buyout-suit,TRUE
palmer_luckey,ZeniMax v. Oculus $500M verdict; reduced by trial judge; settled Dec 2018,https://www.theverge.com/2018/12/12/18137187/facebook-zenimax-vr-lawsuit-settled,PARTIAL
pat_neal,,,FALSE
patrick_soon_shiong,Multiple lawsuits related to patent disputes and business practices,https://www.fiercebiotech.com/biotech/patrick-soon-shiong-sued-for-fraud,TRUE
